symbol,direction,entry_time,exit_time,exit_reason,signal_price,exit_price,entry_fill,exit_fill,entry_fill_time,exit_fill_time,level0_pnl,spread_cost,commission_cost,slippage_cost,partial_cost,total_cost,net_pnl,cost_bps,entry_slip_bps,exit_slip_bps
SPXUSD,long,2020-01-02 20:00:00,2020-01-03 02:00:00,stop,3257.35,3246.4928571428572,3257.2878690000002,3246.4928571428572,2020-01-02 21:00:00.582288854,2020-01-03 02:15:00.343676713,-10.857142857142662,0.3,0.3251921428571429,-0.06213099999968108,0.0,0.5630611428574618,-11.420204000000124,1.728586559189101,-0.19074093971995973,0.0
SPXUSD,short,2020-01-03 03:00:00,2020-01-06 18:00:00,signal,3233.6,3236.65,3233.8074315500003,3236.4407419791664,2020-01-03 04:00:00.297262636,2020-01-06 19:00:00.444385939,-3.050000000000182,0.3,0.32351250000000004,-0.41668957083402347,0.0,0.20682292916597655,-3.2568229291661583,0.6396057928190764,-0.6414879700654532,-0.6471363830828134
SPXUSD,long,2020-01-06 18:00:00,2020-01-07 23:00:00,stop,3236.65,3223.2,3236.4348404375,3223.2,2020-01-06 19:00:00.727659847,2020-01-07 23:19:00.456012501,-13.450000000000273,0.3,0.3229925,-0.2151595625000482,0.0,0.40783293749995186,-13.857832937500225,1.2600464600743109,-0.6647600528325527,0.0
SPXUSD,short,2020-01-07 23:00:00,2020-01-08 02:00:00,stop,3202.55,3219.257142857143,3202.7753264575003,3219.257142857143,2020-01-08 00:00:00.800223014,2020-01-08 02:38:00.436824072,-16.707142857143026,0.3,0.3210903571428572,-0.22532645750015945,0.0,0.39576389964269776,-17.102906756785725,1.23577742624689,-0.7035845107809696,-0.0
SPXUSD,long,2020-01-08 14:00:00,2020-01-10 20:00:00,signal,3246.0,3264.8,3246.052356225,3264.7358564533333,2020-01-08 15:00:00.188498585,2020-01-10 21:00:01.212304920,18.800000000000182,0.3,0.32554000000000005,0.11649977166689496,0.0,0.7420397716668949,18.057960228333286,2.2860128517156344,0.16129459334577806,0.19760796878267223
SPXUSD,short,2020-01-10 20:00:00,2020-01-13 08:00:00,stop,3264.8,3275.9285714285716,3264.7469580566667,3275.9285714285716,2020-01-10 21:00:00.260738592,2020-01-13 08:40:00.475984407,-11.128571428571377,0.3,0.3270364285714286,0.05304194333348278,0.0,0.6800783719049114,-11.808649800476289,2.0830628887065403,0.16246613370951596,-0.0
SPXUSD,long,2020-01-13 16:00:00,2020-01-21 01:00:00,signal,3280.9,3313.25,3280.9544416916665,3313.2022129849997,2020-01-13 17:00:00.533003664,2020-01-21 02:00:00.442597174,32.34999999999991,0.3,0.3297075,0.10222870666666495,0.0,0.7319362066666649,31.618063793333246,2.2309006878193935,0.1659352362656517,0.14565215337336482
SPXUSD,short,2020-01-21 01:00:00,2020-01-21 14:00:00,stop,3313.25,3318.7242857142855,3313.202134365,3318.7242857142855,2020-01-21 02:00:00.426873109,2020-01-21 14:30:00.175192018,-5.474285714285543,0.3,0.3315987142857143,0.04786563500010743,0.0,0.6794643492858217,-6.153750063571365,2.0507488094343067,0.14446732060697934,-0.0
SPXUSD,long,2020-01-21 16:00:00,2020-01-21 18:00:00,stop,3328.45,3319.385714285714,3328.495455010833,3319.385714285714,2020-01-21 17:00:00.495817303,2020-01-21 18:41:00.319738803,-9.064285714285688,0.3,0.33239178571428574,0.04545501083339332,0.0,0.6778467965476791,-9.742132510833368,2.0365238971523656,0.13656510037222525,0.0
SPXUSD,long,2020-01-22 02:00:00,2020-01-22 20:00:00,stop,3335.4,3323.514285714286,3335.4510879566665,3323.514285714286,2020-01-22 03:00:00.326387763,2020-01-22 20:15:00.438373543,-11.88571428571413,0.3,0.33294571428571434,0.051087956666378886,0.0,0.6840336709520932,-12.569747956666223,2.050829498567168,0.15316890527786436,0.0
