symbol,median_delay_s,mode,master_bps,mode_mean_bps,decay_bps,mean_lag_s,pct_faster,order_bar_cross
SPXUSD,0.3,signal,-3.0783423947470694,-3.078059849092704,-0.00028254565436558465,-0.15619059226046345,70.59001782531195,0.0
SPXUSD,0.3,fill,-3.0783423947470694,-3.0813415601326324,0.0029991653855629963,0.395874187860713,0.0,0.0
SPXUSD,3.0,signal,-3.0783423947470694,-3.106318150488863,0.027975755741793673,3.406677098497986,2.2245989304812834,0.0035650623885918006
SPXUSD,3.0,fill,-3.0783423947470694,-3.1097520822661955,0.031409687519126095,3.9587418786159363,0.0,0.0035650623885918006
SPXUSD,30.0,signal,-3.0783423947470694,-3.791699497014358,0.7133571022672887,39.224658818893936,0.0017825311942959003,17.327985739750446
SPXUSD,30.0,fill,-3.0783423947470694,-3.806960763543857,0.7286183687967878,39.7767235990136,0.0,17.629233511586452
SPXUSD,120.0,signal,-3.0783423947470694,-5.817533273928063,2.739190879180994,159.128091648028,0.0,80.92691622103388
SPXUSD,120.0,fill,-3.0783423947470694,-5.828667948799615,2.7503255540525458,159.68015642814692,0.0,81.26559714795009
SPXUSD,600.0,signal,-3.0783423947470694,-8.703946870212647,5.625604475465577,796.209145168114,0.0,98.18538324420678
SPXUSD,600.0,fill,-3.0783423947470694,-8.70623858724502,5.62789619249795,796.7622794669505,0.0,98.18716577540107
USDJPY,0.3,signal,1.4815915882070656,1.4821115305384933,-0.0005199423314277141,-0.1548578955875337,70.61657032755299,0.0
USDJPY,0.3,fill,1.4815915882070656,1.4809275647144613,0.0006640234926043043,0.3961486199945858,0.0,0.0
USDJPY,3.0,signal,1.4815915882070656,1.4746466076068345,0.0069449806002310766,3.4104796843610212,2.142581888246628,0.003853564547206166
USDJPY,3.0,fill,1.4815915882070656,1.4731215377017093,0.008470050505356319,3.96148619993921,0.0,0.003853564547206166
USDJPY,30.0,signal,1.4815915882070656,1.074926605018029,0.40666498318903654,39.06385548382526,0.001926782273603083,17.614643545279385
USDJPY,30.0,fill,1.4815915882070656,1.0661453569534904,0.41544623125357516,39.61486199940894,0.0,17.94412331406551
USDJPY,120.0,signal,1.4815915882070656,0.1585603959355235,1.323031192271542,158.43676518147097,0.0,81.92100192678228
USDJPY,120.0,fill,1.4815915882070656,0.15312649799365624,1.3284650902134094,158.98777169705156,0.0,82.24084778420038
USDJPY,600.0,signal,1.4815915882070656,-0.8731831145959508,2.3547747028030166,795.986695900319,0.0,99.60886319845858
USDJPY,600.0,fill,1.4815915882070656,-0.8736486175032102,2.3552402057102757,796.5377024159008,0.0,99.61078998073218
XAUUSD,0.3,signal,0.023603994013890794,0.021963064456897906,0.0016409295569928886,-0.15439831446837166,70.54022988505747,0.0
XAUUSD,0.3,fill,0.023603994013890794,0.022964693125851702,0.0006393008880390925,0.396303973759272,0.0,0.0
XAUUSD,3.0,signal,0.023603994013890794,0.01258328042726006,0.011020713586630735,3.4123374493676244,2.147509578544061,0.0038314176245210726
XAUUSD,3.0,fill,0.023603994013890794,0.013022876062778797,0.010581117951111997,3.9630397375929314,0.0,0.0038314176245210726
XAUUSD,30.0,signal,0.023603994013890794,-0.4049251890950327,0.4285291831089235,39.09233876586508,0.0,17.553639846743295
XAUUSD,30.0,fill,0.023603994013890794,-0.41100923886238255,0.43461323287627335,39.643041054091555,0.0,17.88697318007663
XAUUSD,120.0,signal,0.023603994013890794,-1.0832861060251997,1.1068901000390905,158.37778376722747,0.0,81.55172413793103
XAUUSD,120.0,fill,0.023603994013890794,-1.086314964850211,1.1099189588641019,158.92848605545308,0.0,81.86206896551724
XAUUSD,600.0,signal,0.023603994013890794,-1.7470855008159831,1.770689494829874,797.743452126981,0.0,99.0
XAUUSD,600.0,fill,0.023603994013890794,-1.748182299134222,1.7717862931481128,798.2953038404953,0.0,99.00191570881226
ETHUSD,0.3,signal,8.826739914882548,8.839024074181934,-0.012284159299385422,-0.15549311197626822,70.72691933916424,0.0
ETHUSD,0.3,fill,8.826739914882548,8.780958175379274,0.045781739503274466,0.3961406004574927,0.0,0.0
ETHUSD,3.0,signal,8.826739914882548,8.41338440057473,0.4133555143078187,3.4097722921290767,2.118561710398445,0.003887269193391642
ETHUSD,3.0,fill,8.826739914882548,8.353586279861519,0.4731536350210295,3.961406004560175,0.0,0.003887269193391642
ETHUSD,30.0,signal,8.826739914882548,3.5256822706411532,5.301057644241395,39.142892805461535,0.0,17.46938775510204
ETHUSD,30.0,fill,8.826739914882548,3.4463393514366745,5.380400563445874,39.695692698652266,0.0,17.80758017492711
ETHUSD,120.0,signal,8.826739914882548,-2.355701646139089,11.182441561021637,158.6917784815946,0.0,81.3469387755102
ETHUSD,120.0,fill,8.826739914882548,-2.3801934060596524,11.2069333209422,159.24574455554287,0.0,81.66180758017492
ETHUSD,600.0,signal,8.826739914882548,-4.98559192517753,13.812331840060079,795.93831355508,0.0,99.11175898931
ETHUSD,600.0,fill,8.826739914882548,-4.985772790918315,13.812512705800863,796.4899472675149,0.0,99.1137026239067
