symbol,median_delay_s,group,n_trades,pct_follower_closer,mean_master_distance,mean_follower_distance,mean_distance_gap,pct_negative_decay,mean_negative_decay_bps,mean_positive_decay_bps
SPXUSD,120.0,control,684,49.26900584795322,24.14924255763,24.097473042812364,0.051769514817635476,49.26900584795322,-5.245960513089331,4.547072506981902
SPXUSD,120.0,conditional,337,100.0,24.34134212232228,22.07728621621768,2.264055906104606,,,
SPXUSD,600.0,control,684,52.77777777777778,24.14924255763,23.874509060625005,0.27473349700499095,52.92397660818714,-10.005216011165697,8.644116193953694
SPXUSD,600.0,conditional,362,99.72375690607734,24.32291440334087,20.339213187729232,3.983701215611636,,,
USDJPY,120.0,control,583,51.80102915951973,0.4006553609158708,0.39828217298874874,0.0023731879271220884,51.80102915951973,-2.5637745863557235,2.3939104907370097
USDJPY,120.0,conditional,302,100.0,0.3916096642321045,0.3567470417706801,0.03486262246142446,,,
USDJPY,600.0,control,583,54.373927958833626,0.4006553609158708,0.395456503336111,0.0051988575797598195,54.373927958833626,-5.0364762851749845,4.972395543908802
USDJPY,600.0,conditional,317,100.0,0.3978976208899285,0.33113798547892515,0.06675963541100338,,,
XAUUSD,120.0,control,629,53.73608903020668,14.160152162113777,13.881390701531034,0.2787614605827443,53.73608903020668,-5.508421023257385,4.347469224331791
XAUUSD,120.0,conditional,338,100.0,14.931789392898915,13.505760107376904,1.4260292855220102,,,
XAUUSD,600.0,control,629,56.91573926868044,14.160152162113777,13.29823360909266,0.8619185530211179,57.07472178060413,-10.932916090886966,7.944509370653951
XAUUSD,600.0,conditional,359,99.72144846796658,14.890661365288512,12.006379454663163,2.8842819106253477,,,
ETHUSD,120.0,control,596,47.98657718120805,49.55443706481772,49.18441014512047,0.3700269196972525,47.98657718120805,-20.509485314970412,18.52142802848191
ETHUSD,120.0,conditional,286,100.0,55.06326173471289,50.65542019131346,4.407841543399417,,,
ETHUSD,600.0,control,596,55.536912751677846,49.55443706481772,48.779812924735225,0.7746241400824936,55.87248322147651,-36.65633956761697,31.490564875683216
ETHUSD,600.0,conditional,333,99.3993993993994,49.14051427801359,42.518508346389964,6.622005931623622,,,
