instrument,gate_median_ms,tau_ms,policy,rejection_mode,timeout_rate,baseline_pnl_bps,gated_pnl_bps,net_impact_bps,n_foregone,bps_foregone,n_avoided,bps_avoided,n_scaled_timeout,bps_scaled_timeout_repricing_impact,covid_net_impact_bps,own_stress_net_impact_bps,rest_net_impact_bps
SPXUSD,150.0,50.0,S,informed,0.8814616755793226,-3453.900166906212,-1764.9798461043817,1688.920320801829,0,0.0,2,418.40251060951914,989.0,-0.09721906721280019,571.3936886003302,536.4728408132244,581.053791388275
SPXUSD,150.0,100.0,H,uninformed,0.6515151515151515,-3453.900166906212,-3414.1169012228265,39.783265683385366,205,28795.591129376397,531,28835.539817226054,,,-115.35762470283524,669.1852782350858,-514.0443878488652
SPXUSD,150.0,100.0,H,informed,0.6515151515151515,-3453.900166906212,-1655.854648348246,1798.0455185579663,203,28689.500117724623,535,30487.640468603713,,,928.3172332155938,1191.467313666779,-321.7390283244072
SPXUSD,150.0,100.0,S,uninformed,0.6515151515151515,-3453.900166906212,-3457.828024086034,-3.927857179822695,2,106.09101165177596,3,58.79501578793255,731.0,-0.08878100645914802,-57.620216828715236,334.57514102397244,-280.88278137507996
SPXUSD,150.0,100.0,S,informed,0.6515151515151515,-3453.900166906212,-1699.5657712114535,1754.3343956947583,0,0.0,7,1710.8956671655965,731.0,-0.08878100645914802,986.0546410897138,856.857176455666,-88.57742185062213
SPXUSD,150.0,250.0,H,uninformed,0.3244206773618538,-3453.900166906212,-2645.997564991999,807.9026019142104,110,13291.508580372276,269,14100.154389946989,,,-811.0755966868151,-60.14890275334868,1679.1271013543742
SPXUSD,150.0,250.0,H,informed,0.3244206773618538,-3453.900166906212,921.477774276754,4375.377941182965,106,13092.59365995721,273,17468.594561321595,,,2080.4086037008137,649.2763659014245,1645.6929715807266
SPXUSD,150.0,250.0,S,uninformed,0.3244206773618538,-3453.900166906212,-2879.467040292089,574.4331266141211,4,198.91492041506513,11,540.1661883027616,364.0,0.22779554341931937,-405.3499437851887,-30.093501326048333,1009.8765717253583
SPXUSD,150.0,250.0,S,informed,0.3244206773618538,-3453.900166906212,688.0082989766643,4141.908465882875,0,0.0,15,3908.6063596773683,364.0,0.22779554341931937,2486.1342566024396,679.3317673287248,976.4424419517107
USDJPY,30.0,10.0,H,uninformed,0.8795761078998073,1537.8920685589342,-492.6252910966657,-2030.5173596555999,269,19848.926643117058,646,17818.406758933495,,,-1129.045435222636,-523.832786090559,-377.63913834240475
USDJPY,30.0,10.0,H,informed,0.8795761078998073,1537.8920685589342,-432.66422715410215,-1970.5562957130362,268,19832.7755758605,646,17862.217037091323,,,-1129.045435222636,-523.832786090559,-317.67807439984114
USDJPY,30.0,10.0,S,uninformed,0.8795761078998073,1537.8920685589342,523.6176338052743,-1014.2744347536596,1,16.151067256555805,1,18.140014777450283,913.0,-0.011490950289495802,-564.5219730661361,-261.9196019257706,-187.83285976175276
USDJPY,30.0,10.0,S,informed,0.8795761078998073,1537.8920685589342,583.578697747838,-954.3133708110961,0,0.0,1,61.950292935279236,913.0,-0.011490950289495802,-564.5219730661361,-261.9196019257706,-127.87179581918915
USDJPY,30.0,25.0,H,uninformed,0.571290944123314,1537.8920685589342,-1297.6064334144587,-2835.498501973392,184,14109.697345470411,413,11274.219753579668,,,-549.3612548705133,-452.8883858122916,-1833.2488612905872
USDJPY,30.0,25.0,H,informed,0.571290944123314,1537.8920685589342,-620.5500913786179,-2158.442159937552,183,14093.546278213855,420,11935.12154183089,,,-549.3612548705133,-490.804145658099,-1118.276759408939
USDJPY,30.0,25.0,S,uninformed,0.571290944123314,1537.8920685589342,155.66460021460284,-1382.227468344331,1,16.151067256555805,3,87.23356450872878,593.0,-0.0090109423969197,-274.6793358207815,-207.4912848376747,-900.056847685875
USDJPY,30.0,25.0,S,informed,0.571290944123314,1537.8920685589342,832.7209422504434,-705.1711263084906,0,0.0,10,748.1353527599524,593.0,-0.0090109423969197,-274.6793358207815,-245.40704468348213,-185.08474580422683
USDJPY,30.0,50.0,H,uninformed,0.3304431599229287,1537.8920685589342,-630.6169803515065,-2168.50904891044,113,8585.183470964248,242,6416.764292815869,,,-753.8873014783006,-207.36583851208275,-1207.255908920057
USDJPY,30.0,50.0,H,informed,0.3304431599229287,1537.8920685589342,445.9184930821573,-1091.9735754767767,112,8569.032403707692,248,7477.140115023404,,,-485.4835353836858,-172.5796082477126,-433.9104318453782
USDJPY,30.0,50.0,S,uninformed,0.3304431599229287,1537.8920685589342,589.3145681151175,-948.5775004438165,1,16.151067256555805,11,287.5424506206647,343.0,0.02626771038086162,-376.94139936788594,-84.73110580634095,-486.90499526958973
USDJPY,30.0,50.0,S,informed,0.3304431599229287,1537.8920685589342,1665.8500415487815,127.9579729898471,0,0.0,17,1347.9182728281983,343.0,0.02626771038086162,-108.53763327327108,-49.94487554197074,286.44048180508906
USDJPY,30.0,100.0,H,uninformed,0.13680154142581888,1537.8920685589342,-96.35621142409684,-1634.2482799830307,54,4503.6778210169305,102,2869.522143593405,,,-463.1001779514873,-147.80428271127874,-1023.343819320265
USDJPY,30.0,100.0,H,informed,0.13680154142581888,1537.8920685589342,1503.1059271097342,-34.78614144919982,51,4068.343366318381,109,4033.6406249391184,,,165.48457314774166,-113.01805244690857,-87.25266215003285
USDJPY,30.0,100.0,S,uninformed,0.13680154142581888,1537.8920685589342,646.8685340842394,-891.0235344746947,3,435.3344546985494,11,287.5424506206647,142.0,0.04290883551568586,-411.63978063125927,-54.947917836638325,-424.43583600679716
USDJPY,30.0,100.0,S,informed,0.13680154142581888,1537.8920685589342,2246.3306726180704,708.4386040591367,0,0.0,18,1451.6609319663785,142.0,0.04290883551568586,216.94497046796974,-20.16168757226812,511.65532116343513
USDJPY,30.0,250.0,H,uninformed,0.014450867052023121,1537.8920685589342,960.9800106566893,-576.9120579022449,12,1124.9995659785593,19,548.0524915455733,,,-360.18024431833516,76.08931695166244,-292.82113053557214
USDJPY,30.0,250.0,H,informed,0.014450867052023121,1537.8920685589342,2845.018899156314,1307.12683059738,7,548.9193608084566,28,1855.9842706497702,,,268.40450678089377,110.87554721603264,927.8467766004533
USDJPY,30.0,250.0,S,uninformed,0.014450867052023121,1537.8920685589342,1105.1562249558783,-432.73584360305574,5,576.0802051701027,11,287.5424506206647,15.0,-0.028445642584891573,-360.18024431833516,57.00214105875147,-129.55774034347206
USDJPY,30.0,250.0,S,informed,0.014450867052023121,1537.8920685589342,2989.1951134555034,1451.303044896569,0,0.0,20,1595.4742297248617,15.0,-0.028445642584891573,268.40450678089377,91.78837132312167,1091.1101667925536
USDJPY,150.0,10.0,H,uninformed,0.9951830443159922,1537.8920685589342,-114.56195839685417,-1652.4540269557883,301,21776.503901634427,732,20124.049723236567,,,-1098.5380548461992,-486.2059627608439,-67.71000934874496
USDJPY,150.0,10.0,H,informed,0.9951830443159922,1537.8920685589342,-114.56195839685417,-1652.4540269557883,301,21776.503901634427,732,20124.049723236567,,,-1098.5380548461992,-486.2059627608439,-67.71000934874496
USDJPY,150.0,10.0,S,uninformed,0.9951830443159922,1537.8920685589342,711.6565700468177,-826.2354985121159,0,0.0,0,0.0,1033.0,-0.008560755256338634,-549.2680342635238,-243.10602366270632,-33.86144058588553
