symbol,median_delay_s,mean_decay_after_zero_latency,mean_decay_after_drawn_latency,abs_difference_bps
SPXUSD,0.3,-0.00037946910983602527,-0.0003087340521594298,7.073505767659548e-05
SPXUSD,3.0,0.025727107143773336,0.02579784220144995,7.073505767661234e-05
SPXUSD,30.0,0.2801293080562328,0.2802000431139094,7.073505767657418e-05
SPXUSD,120.0,0.7742520938624119,0.7743218482048829,6.975434247102896e-05
SPXUSD,600.0,1.1803884600333527,1.1804499723013921,6.151226803940979e-05
USDJPY,0.3,-0.0005188632707128697,-0.0005174556232887272,1.4076474241425446e-06
USDJPY,3.0,0.005443519510471638,0.005444927157895781,1.4076474241430867e-06
USDJPY,30.0,0.0738439848147169,0.07384539246214106,1.407647424150893e-06
USDJPY,120.0,0.2204935369942393,0.22049494464166344,1.407647424150893e-06
USDJPY,600.0,0.22957125716090812,0.2295709281865753,3.289743328305228e-07
XAUUSD,0.3,0.0015134002921467046,0.0016396658701988839,0.00012626557805217923
XAUUSD,3.0,0.0060375578674921855,0.006163823445544373,0.00012626557805218725
XAUUSD,30.0,0.012018354232028308,0.012157853652240626,0.0001394994202123176
XAUUSD,120.0,-0.3529913909888824,-0.35265340735423456,0.00033798363464782044
XAUUSD,600.0,-1.180222774668956,-1.179950089137246,0.00027268553170989307
ETHUSD,0.3,-0.009654871917404275,-0.012488052076668497,0.0028331801592642227
ETHUSD,3.0,0.42544149255881386,0.4226083123995496,0.002833180159264259
ETHUSD,30.0,4.0468568391494095,4.04467388514494,0.0021829540044695506
ETHUSD,120.0,5.933551298546028,5.933054364018973,0.0004969345270557923
ETHUSD,600.0,3.3622111941182,3.362639013387163,0.00042781926896307
