symbol,direction,entry_time,exit_time,exit_reason,signal_price,exit_price,entry_fill,exit_fill,entry_fill_time,exit_fill_time,level0_pnl,spread_cost,commission_cost,slippage_cost,partial_cost,total_cost,net_pnl,cost_bps,entry_slip_bps,exit_slip_bps
ETHUSD,long,2020-01-03 08:00:00,2020-01-08 16:00:00,signal,131.87,138.94,131.920194096,138.80676718516668,2020-01-03 09:00:00.582288854,2020-01-08 17:00:00.843343405,7.069999999999993,0.12966666666666668,0.0135405,0.18342691083330465,0.0,0.3266340774999713,6.743365922500022,24.769399977248145,3.8063316902998596,10.10334532746799
ETHUSD,short,2020-01-08 16:00:00,2020-01-10 12:00:00,signal,138.94,139.48,138.80886049566666,139.49652913516667,2020-01-08 17:00:00.297262636,2020-01-10 13:00:00.905443876,-0.539999999999992,0.10408333333333333,0.013921,0.14766863950001152,0.0,0.26567297283334484,-0.8056729728333369,19.12141736241146,9.438570917902219,1.1896599371439533
ETHUSD,long,2020-01-10 12:00:00,2020-01-20 11:00:00,signal,139.48,162.7,139.4972106405,162.68538873333333,2020-01-10 13:00:00.727659847,2020-01-20 12:00:00.553352716,23.22,0.173,0.015108999999999997,0.031821907166659,0.0,0.21993090716665897,23.00006909283334,15.767917060987882,1.2339145755661416,1.0475528152181288
ETHUSD,short,2020-01-20 11:00:00,2020-01-20 15:00:00,stop,162.7,166.54285714285712,162.683331475,166.54285714285712,2020-01-20 12:00:00.800223014,2020-01-20 15:52:00.389330096,-3.8428571428571274,0.21191666666666664,0.016462142857142856,0.016668525000000045,0.0,0.24504733452380956,-4.0879044773809365,15.061298987326955,1.024494468346653,-0.0
ETHUSD,short,2020-01-21 19:00:00,2020-01-21 20:00:00,stop,164.53,167.59285714285716,164.53050266133334,167.59285714285716,2020-01-21 20:00:00.188498585,2020-01-21 20:12:00.637266958,-3.0628571428571547,0.2485,0.016606142857142858,-0.0005026613333427576,0.0,0.2646034815238001,-3.327460624380955,16.082385067999763,-0.030551348285586682,-0.0
ETHUSD,short,2020-01-23 01:00:00,2020-01-24 19:00:00,signal,164.18,163.3,164.181042952,163.31083200433335,2020-01-23 02:00:00.260738592,2020-01-24 20:00:00.384002583,0.8799999999999955,0.22058333333333333,0.016374000000000003,0.009789052333331938,0.0,0.24674638566666526,0.6332536143333302,15.029016059609285,-0.06352491168266083,0.6597639379545537
ETHUSD,long,2020-01-24 19:00:00,2020-01-30 00:00:00,signal,163.3,172.36,163.37645376431482,172.11099872931172,2020-01-24 20:00:00.533003664,2020-01-30 01:00:00.499651958,9.060000000000002,0.18833333333333335,0.016783000000000003,0.002070866666656457,0.323384168336446,0.5305713683364358,8.529428631663567,32.49059205979398,4.681798182168156,15.24808761104081
ETHUSD,short,2020-01-30 00:00:00,2020-01-30 08:00:00,stop,172.36,176.27428571428575,172.1110555590463,176.27428571428575,2020-01-30 01:00:00.426873109,2020-01-30 08:16:00.818666057,-3.9142857142857395,0.14733333333333332,0.017431714285714286,-0.009217399499988232,0.2581618404537096,0.41370948857276896,-4.327995202858508,24.002639160638715,14.443283879886364,-0.0
ETHUSD,long,2020-01-30 15:00:00,2020-01-30 16:00:00,stop,177.32,173.96571428571428,177.32894562372533,173.96571428571428,2020-01-30 16:00:00.495817303,2020-01-30 16:33:00.378313200,-3.3542857142857088,0.1379166666666667,0.017564285714285716,0.008925729833350715,1.989389198797653e-05,0.1644265761062911,-3.518712290392,9.27287255280234,0.5044903973234092,0.0
ETHUSD,long,2020-01-30 18:00:00,2020-01-31 12:00:00,stop,180.74,175.8857142857143,180.76302533453705,175.8857142857143,2020-01-30 19:00:00.326387763,2020-01-31 12:41:00.748033241,-4.854285714285709,0.21816666666666668,0.017831285714285716,-5.4397833338271084e-05,0.02307973237037686,0.259023286917991,-5.1133090012036995,14.33126518302484,1.2739479106472607,0.0
ETHUSD,long,2020-02-02 22:00:00,2020-02-04 09:00:00,signal,188.93,185.04,188.91404975433332,185.03953229266665,2020-02-02 23:00:00.776119952,2020-02-04 10:00:00.701561652,-3.890000000000015,0.6116363636363636,0.018698500000000003,-0.015482538333344564,0.0,0.614852325303019,-4.504852325303034,32.54392236823262,-0.8442410240135035,0.02475558849005238
ETHUSD,short,2020-02-04 09:00:00,2020-02-05 00:00:00,stop,185.04,189.14,185.03950821666666,189.16067209566665,2020-02-04 10:00:00.737675529,2020-02-05 00:52:00.310198430,-4.099999999999994,0.1295,0.018709,0.021163878999999497,0.0,0.1693728789999995,-4.269372878999993,9.15331166234325,0.02657713647486415,1.117169026516894
ETHUSD,long,2020-02-05 05:00:00,2020-02-11 02:00:00,signal,190.49,215.46,190.7346518777037,215.21671734469135,2020-02-05 06:00:00.516783201,2020-02-11 03:00:00.813670231,24.97,0.2409166666666667,0.020297500000000003,0.004979136166667786,0.4829553968456821,0.7491486996790166,24.220851300320984,39.32745549262515,12.843292440741696,12.771413476227693
