symbol,n_trades,L0_points,L1_points,L2_points,L3_points,avg_spread_bps,avg_commission_bps,avg_slippage_bps,avg_partial_bps,avg_cost_bps,dominant
SPXUSD,1122,-539.4114285714172,-1415.8887393659793,-1558.8921314135932,-1621.653358171145,0.6859480261505548,1.0004107485908826,0.2810441158296273,0.16652649588663024,2.1339293864576945,commission
USDJPY,1038,35.981142857142814,15.5682860445316,15.491257639688907,14.683394625350797,0.45328017450605984,1.0002181376195054,0.005476651842643272,0.05949980082133559,1.518474764789544,commission
XAUUSD,1044,286.7805714285728,-146.73184429462995,-226.15214200419214,-245.62652423285877,0.7808981490223679,1.0005052851349803,0.09458179972717669,0.06706608947319792,1.9430513233577227,commission
ETHUSD,1029,4573.497142857139,2575.85025574806,579.8130492094506,493.9602382510159,8.370412070160283,1.0022674728681693,9.150482644264294,1.1339982500017418,19.65716043729449,slippage
