symbol,median_delay_s,master_bps,mean_decay_bps,std_decay_bps,p10_decay_bps,p90_decay_bps,worst_decay_bps,share_worse_than_master
SPXUSD,0.3,-3.0783423947470694,-0.00028254565436592217,0.0015393996577991592,-0.0014768614924487444,0.001473665100220423,0.004024292994575962,0.32
SPXUSD,3.0,-3.0783423947470694,0.027975755741794027,0.015491558232178706,0.01615460196861873,0.045632127754968194,0.06994980809663653,0.96
SPXUSD,30.0,-3.0783423947470694,0.7133571022672883,0.10784772362428156,0.5866039476265816,0.881498193555475,0.9164659718988313,1.0
SPXUSD,120.0,-3.0783423947470694,2.7391908791809936,0.18262358425011624,2.521696166346291,2.9515471916109113,3.1069915185349486,1.0
SPXUSD,600.0,-3.0783423947470694,5.625604475465577,0.39831206104536754,5.188551776123333,6.131059068769731,6.492429157479759,1.0
USDJPY,0.3,1.4815915882070656,-0.000519942331427794,0.0006766339384583001,-0.0010413144480245328,-6.35792059225703e-05,0.0019382101423988107,0.08
USDJPY,3.0,1.4815915882070656,0.006944980600231334,0.006632256189571057,0.0008943071628470635,0.012154221668415578,0.030024026804839288,0.92
USDJPY,30.0,1.4815915882070656,0.4066649831890365,0.07948609615574487,0.3194350992626524,0.504749597514672,0.5913873301521912,1.0
USDJPY,120.0,1.4815915882070656,1.323031192271542,0.08810695133224505,1.2008562352114067,1.4236781087719985,1.4468970285283718,1.0
USDJPY,600.0,1.4815915882070656,2.354774702803016,0.19111534732570157,2.108583004975309,2.6417983508477074,2.728968571686394,1.0
XAUUSD,0.3,0.023603994013890794,0.0016409295569928873,0.0012941410911584076,0.00037377129356602,0.00304115400512927,0.004260088118061885,0.92
XAUUSD,3.0,0.023603994013890794,0.011020713586630735,0.013137407909646251,-0.0033395258180946566,0.024641740658819595,0.03512514590189982,0.76
XAUUSD,30.0,0.023603994013890794,0.4285291831089236,0.08623278371138395,0.3158544037050678,0.5255367712613432,0.5961997560395145,1.0
XAUUSD,120.0,0.023603994013890794,1.1068901000390905,0.1454482959032077,0.9384926837600449,1.2490535800899787,1.441903725550227,1.0
XAUUSD,600.0,0.023603994013890794,1.7706894948298737,0.281815553987204,1.4565377779937063,2.1200340652990572,2.393844606232137,1.0
ETHUSD,0.3,8.826739914882548,-0.012284159299386062,0.005667223357853292,-0.018001091464840968,-0.004222918016001026,-0.0003070067324468795,0.0
ETHUSD,3.0,8.826739914882548,0.4133555143078189,0.0587484450487144,0.3505142421956819,0.48667900265022873,0.5404110034355281,1.0
ETHUSD,30.0,8.826739914882548,5.3010576442413955,0.4791294688760791,4.8640174862278815,5.790965109734515,5.9549930782779175,1.0
ETHUSD,120.0,8.826739914882548,11.182441561021637,0.8579037706944028,10.337972050921483,12.138016665151792,12.816474811969824,1.0
ETHUSD,600.0,8.826739914882548,13.812331840060075,1.3457945463264704,12.446468963245108,15.888217370039508,16.401433097899936,1.0
